93,ACADEMY CAPITAL MANAGEMENT INC/TX,13F-HR,1031972,2010-02-09,https://www.sec.gov/Archives/edgar/data/1031972/0001031972-10-000001-index.htm
96,ACADIA TRUST NA,13F-HR,872078,2010-01-20,https://www.sec.gov/Archives/edgar/data/872078/0000872078-10-000002-index.htm
97,ACADIAN ASSET MANAGEMENT LLC,13F-HR,916542,2010-02-10,https://www.sec.gov/Archives/edgar/data/916542/0001135428-10-000028-index.htm
127,ACL SEMICONDUCTOR INC,10-K/A,934445,2010-01-07,https://www.sec.gov/Archives/edgar/data/934445/0000930413-10-000039-index.htm
129,ACL SEMICONDUCTOR INC,10-Q/A,934445,2010-01-07,https://www.sec.gov/Archives/edgar/data/934445/0000930413-10-000041-index.htm
130,ACL SEMICONDUCTOR INC,10-Q/A,934445,2010-01-07,https://www.sec.gov/Archives/edgar/data/934445/0000930413-10-000042-index.htm
131,ACL SEMICONDUCTOR INC,NT 10-K,934445,2010-03-30,https://www.sec.gov/Archives/edgar/data/934445/0000930413-10-001681-index.htm
132,ACME PACKET INC,10-K,1130258,2010-03-09,https://www.sec.gov/Archives/edgar/data/1130258/0000950123-10-022645-index.htm
133,ACME UNITED CORP,10-K,2098,2010-03-09,https://www.sec.gov/Archives/edgar/data/2098/0001026608-10-000024-index.htm
134,ACME UNITED CORP,DEF 14A,2098,2010-03-23,https://www.sec.gov/Archives/edgar/data/2098/0001026608-10-000028-index.htm
135,ACNB CORP,10-K,715579,2010-03-12,https://www.sec.gov/Archives/edgar/data/715579/0001047469-10-002122-index.htm
136,ACNB CORP,DEF 14A,715579,2010-03-24,https://www.sec.gov/Archives/edgar/data/715579/0001047469-10-002679-index.htm
137,ACORDA THERAPEUTICS INC,10-K,1008848,2010-02-26,https://www.sec.gov/Archives/edgar/data/1008848/0001047469-10-001554-index.htm
138,"ACORN ENERGY, INC.",10-K,880984,2010-03-22,https://www.sec.gov/Archives/edgar/data/880984/0001144204-10-014862-index.htm
139,ACRO INC.,10-K,1228386,2010-03-31,https://www.sec.gov/Archives/edgar/data/1228386/0001178913-10-000928-index.htm
140,ACRONGENOMICS INC,NT 10-K,1104502,2010-03-31,https://www.sec.gov/Archives/edgar/data/1104502/0001085037-10-000116-index.htm
141,"ACROSS AMERICA REAL ESTATE EXCHANGE, INC.",10-K,1388132,2010-02-10,https://www.sec.gov/Archives/edgar/data/1388132/0001079974-10-000060-index.htm
142,"ACT II MANAGEMENT, LP",13F-HR,1450008,2010-02-16,https://www.sec.gov/Archives/edgar/data/1450008/0000902664-10-000750-index.htm
143,"ACTAVISION VENTURES, INC.",NT 10-K,1386975,2010-03-31,https://www.sec.gov/Archives/edgar/data/1386975/0001386975-10-000001-index.htm
144,ACTEL CORP,10-K,907687,2010-03-15,https://www.sec.gov/Archives/edgar/data/907687/0000950123-10-024784-index.htm
145,ACTIVANT SOLUTIONS INC /DE/,10-Q,1059103,2010-02-10,https://www.sec.gov/Archives/edgar/data/1059103/0000950123-10-010558-index.htm
146,ACTIVE POWER INC,10-K,1044435,2010-03-04,https://www.sec.gov/Archives/edgar/data/1044435/0001193125-10-047972-index.htm
147,"ACTIVECARE, INC.",10-Q,1429896,2010-02-16,https://www.sec.gov/Archives/edgar/data/1429896/0001096906-10-000195-index.htm
